Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,HopeFiveYears,JobSearchStatus,LastNewJob,AssessJob1,AssessJob2,AssessJob3,AssessJob4,AssessJob5,AssessJob6,AssessJob7,AssessJob8,AssessJob9,AssessJob10,AssessBenefits1,AssessBenefits2,AssessBenefits3,AssessBenefits4,AssessBenefits5,AssessBenefits6,AssessBenefits7,AssessBenefits8,AssessBenefits9,AssessBenefits10,AssessBenefits11,JobContactPriorities1,JobContactPriorities2,JobContactPriorities3,JobContactPriorities4,JobContactPriorities5,JobEmailPriorities1,JobEmailPriorities2,JobEmailPriorities3,JobEmailPriorities4,JobEmailPriorities5,JobEmailPriorities6,JobEmailPriorities7,UpdateCV,Currency,Salary,SalaryType,ConvertedSalary,CurrencySymbol,CommunicationTools,TimeFullyProductive,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,HackathonReasons,AgreeDisagree1,AgreeDisagree2,AgreeDisagree3,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,IDE,OperatingSystem,NumberMonitors,Methodology,VersionControl,CheckInCode,AdBlocker,AdBlockerDisable,AdBlockerReasons,AdsAgreeDisagree1,AdsAgreeDisagree2,AdsAgreeDisagree3,AdsActions,AdsPriorities1,AdsPriorities2,AdsPriorities3,AdsPriorities4,AdsPriorities5,AdsPriorities6,AdsPriorities7,AIDangerous,AIInteresting,AIResponsible,AIFuture,EthicsChoice,EthicsReport,EthicsResponsible,EthicalImplications,StackOverflowRecommend,StackOverflowVisit,StackOverflowHasAccount,StackOverflowParticipate,StackOverflowJobs,StackOverflowDevStory,StackOverflowJobsRecommend,StackOverflowConsiderMember,HypotheticalTools1,HypotheticalTools2,HypotheticalTools3,HypotheticalTools4,HypotheticalTools5,WakeTime,HoursComputer,HoursOutside,SkipMeals,ErgonomicDevices,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Age,Dependents,MilitaryUS,SurveyTooLong,SurveyEasy
20268,Yes,No,Saudi Arabia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,9-11 years,9-11 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,Yes,"No, I have one but it's out of date",10 (Very Likely),Yes,A little bit interested,A little bit interested,Somewhat interested,Not at all interested,Extremely interested,Between 7:01 - 8:00 AM,5 - 8 hours,Less than 30 minutes,Never,NA,I don't typically exercise,NA,NA,NA,NA,NA,NA,NA,NA,NA
21272,Yes,Yes,Saudi Arabia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",20 to 99 employees,"C-suite executive (CEO, CTO, etc.);Database administrator;Designer;Engineering manager;System administrator",30 or more years,15-17 years,Slightly satisfied,Moderately satisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21849,Yes,Yes,Saudi Arabia,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",20 to 99 employees,Back-end developer;Front-end developer;Mobile developer,0-2 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,Daily or almost daily,I'm not sure / I can't remember,NA,Yes,NA,10 (Very Likely),I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24163,Yes,Yes,Saudi Arabia,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","5,000 to 9,999 employees",Data or business analyst;Data scientist or machine learning specialist;Educator or academic researcher,30 or more years,24-26 years,Moderately satisfied,Extremely satisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,4,6,2,5,3,9,8,1,7,10,1,10,2,8,11,5,6,3,9,7,4,2,1,3,4,5,7,5,4,1,3,2,6,My job status or other personal status changed,U.S. dollars ($),55000,NA,55000,USD,"Google Hangouts/Chat;Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack",One to three months,Taken an online course in programming or software development (e.g. a MOOC),NA,NA,NA,Disagree,Disagree,Disagree,Matlab;Python;R;VBA;VB.NET;Visual Basic 6,Java;JavaScript;Julia;Python;R;VBA;HTML,PostgreSQL,PostgreSQL,Windows Desktop or Server,Android;Windows Desktop or Server,NA,Hadoop;TensorFlow,IPython / Jupyter;Notepad++;PyCharm;Visual Studio,Windows,2,NA,I don't use version control,NA,Yes,Yes,The website I was visiting forced me to disable it to access their content;The website I was visiting asked me to disable it;I wanted to support the website I was visiting by viewing their ads,Strongly agree,Somewhat agree,Neither agree nor disagree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising,1,4,2,6,7,3,5,Increasing automation of jobs,Algorithms making important decisions,A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,Upper management at the company/organization,Yes,10 (Very Likely),Daily or almost daily,Yes,A few times per month or weekly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",NA,Yes,Somewhat interested,Very interested,Very interested,Somewhat interested,A little bit interested,Between 7:01 - 8:00 AM,9 - 12 hours,1 - 2 hours,Daily or almost every day,Ergonomic keyboard or mouse;Wrist/hand supports or braces,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Middle Eastern,35 - 44 years old,Yes,NA,The survey was too long,Somewhat easy
24259,Yes,Yes,Saudi Arabia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Front-end developer;Full-stack developer,6-8 years,0-2 years,Moderately satisfied,Moderately satisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,10,7,6,1,4,5,3,2,8,9,1,2,7,10,9,6,4,3,11,8,5,2,1,5,3,4,4,3,2,1,5,7,6,A recruiter contacted me,U.S. dollars ($),2200,Monthly,26400,USD,Slack,One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher",NA,NA,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,C;C++;Java;JavaScript;Rust;HTML;CSS;Bash/Shell,JavaScript;Ruby;Rust;SQL;HTML;CSS;Bash/Shell,NA,PostgreSQL,Arduino;Linux;Raspberry Pi;Windows Desktop or Server,Linux;Raspberry Pi,Node.js,Node.js,Emacs;Visual Studio Code,Linux-based,1,Agile,Git,A few times per week,Yes,Yes,The website I was visiting forced me to disable it to access their content,Somewhat agree,Neither agree nor disagree,Strongly agree,Clicked on an online advertisement,1,4,2,6,3,7,5,Algorithms making important decisions,Increasing automation of jobs,Nobody,"I don't care about it, or I haven't thought about it.",No,Depends on what it is,Upper management at the company/organization,Unsure / I don't know,8,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",NA,I'm not sure,Not at all interested,Extremely interested,Somewhat interested,Extremely interested,Not at all interested,Between 8:01 - 9:00 AM,9 - 12 hours,3 - 4 hours,Daily or almost every day,Ergonomic keyboard or mouse,3 - 4 times per week,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Middle Eastern,18 - 24 years old,No,NA,The survey was too long,Somewhat difficult
28404,Yes,Yes,Saudi Arabia,"Yes, full-time",Employed part-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",100 to 499 employees,Back-end developer;Designer;Front-end developer;Full-stack developer;QA or test developer,3-5 years,3-5 years,Slightly satisfied,Slightly satisfied,Doing the same work,I am actively looking for a job,Between 1 and 2 years ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28509,Yes,No,Saudi Arabia,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","5,000 to 9,999 employees",Data or business analyst,6-8 years,3-5 years,Moderately satisfied,Moderately satisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,4,8,7,6,1,9,3,2,10,5,1,5,2,7,11,3,10,9,4,6,8,1,2,4,3,5,4,1,6,3,2,7,5,I did not receive an expected change in compensation,NA,NA,NA,NA,NA,"Office / productivity suite (Microsoft Office, Google Suite, etc.)",One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",NA,NA,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,C#;JavaScript;Matlab;PHP;Python;SQL;HTML;CSS;Bash/Shell,Go;JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,"MongoDB;Redis;SQL Server;MySQL;Oracle;Microsoft Azure (Tables, CosmosDB, SQL, etc)",MySQL;Oracle,Arduino;Linux;Raspberry Pi;SharePoint,Google Home;Linux,.NET Core;Django;Node.js;React,Node.js;React,Visual Studio Code,Windows,1,Lean,Git,Less than once per month,Yes,No,NA,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Clicked on an online advertisement,4,1,2,6,7,3,5,Algorithms making important decisions,Increasing automation of jobs,A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,10 (Very Likely),A few times per month or weekly,No,NA,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",NA,NA,No,A little bit interested,Not at all interested,A little bit interested,Somewhat interested,A little bit interested,Between 6:01 - 7:00 AM,9 - 12 hours,1 - 2 hours,1 - 2 times per week,NA,3 - 4 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Middle Eastern,25 - 34 years old,No,NA,The survey was an appropriate length,Somewhat easy
28643,Yes,No,Saudi Arabia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer,6-8 years,0-2 years,Extremely dissatisfied,Moderately dissatisfied,Working as a founder or co-founder of my own company,I am actively looking for a job,Between 1 and 2 years ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",NA,No,Somewhat interested,Not at all interested,A little bit interested,Somewhat interested,A little bit interested,Between 11:01 AM - 12:00 PM,Over 12 hours,Less than 30 minutes,3 - 4 times per week,Standing desk;Ergonomic keyboard or mouse,I don't typically exercise,NA,NA,NA,NA,NA,NA,NA,NA,NA
29713,Yes,Yes,Saudi Arabia,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer,3-5 years,3-5 years,Moderately satisfied,Moderately satisfied,Working as a product manager or project manager,I am actively looking for a job,Less than a year ago,10,8,9,3,6,2,5,1,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,5,4,3,7,6,2,5,4,1,A recruiter contacted me,NA,6000,Monthly,19200,SAR,"Facebook;Google Hangouts/Chat;Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack;Stack Overflow Enterprise;Other chat system (IRC, proprietary software, etc.);Other wiki tool (Github, Google Sites, proprietary software, etc.)",Three to six months,"Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Pre-scheduled tutoring or mentoring sessions with a friend or colleague;Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",NA,NA,Agree,Strongly agree,Disagree,Go;JavaScript;PHP;TypeScript;HTML;CSS;Bash/Shell,Go;JavaScript;PHP;TypeScript;HTML;CSS;Bash/Shell,MongoDB,MongoDB,Android;Arduino;AWS;Google Cloud Platform/App Engine;Heroku;iOS;Raspberry Pi;Serverless;Windows Desktop or Server;WordPress;Firebase,Android;Arduino;AWS;Google Cloud Platform/App Engine;Heroku;iOS;Raspberry Pi;Serverless;Windows Desktop or Server;WordPress;Firebase,Angular;Node.js;React;Cordova,Angular;Node.js;React;Cordova,Android Studio;IntelliJ;PHPStorm;Sublime Text;Visual Studio Code,Windows,1,NA,Git;Copying and pasting files to network shares;Zip file back-ups,Multiple times per day,Yes,Yes,The website I was visiting asked me to disable it,Strongly disagree,Strongly disagree,Somewhat disagree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad),1,2,3,4,5,6,7,Increasing automation of jobs,Algorithms making important decisions,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,10 (Very Likely),Multiple times per day,Yes,Multiple times per day,Yes,"No, I know what it is but I don't have one",10 (Very Likely),Yes,Extremely interested,Extremely interested,Very interested,Extremely interested,Extremely interested,Between 7:01 - 8:00 AM,Over 12 hours,30 - 59 minutes,3 - 4 times per week,Standing desk;Fatigue-relieving floor mat;Ergonomic keyboard or mouse,I don't typically exercise,Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",East Asian,18 - 24 years old,No,NA,The survey was an appropriate length,Very easy
29994,Yes,No,Saudi Arabia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Database administrator;Designer;Desktop or enterprise applications developer;Front-end developer;Mobile developer;System administrator,18-20 years,9-11 years,Moderately dissatisfied,Slightly dissatisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,4,8,7,1,5,6,9,2,10,3,2,11,1,7,10,6,5,9,4,8,3,1,2,3,4,5,1,5,7,2,4,6,3,A recruiter contacted me,NA,25000,Monthly,79992,SAR,"Office / productivity suite (Microsoft Office, Google Suite, etc.)",One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow",NA,NA,Agree,Neither Agree nor Disagree,Disagree,C;C#;JavaScript;PHP;Python;SQL;Swift;VBA;VB.NET;HTML;CSS,C;C++;C#;JavaScript;PHP;Python;SQL;Swift;VB.NET;HTML;CSS,SQL Server;MySQL;SQLite;Oracle,SQL Server;MySQL;SQLite;Oracle,iOS;Firebase,iOS;Raspberry Pi;SharePoint;Firebase,.NET Core,.NET Core;Node.js,Eclipse;NetBeans;Notepad++;Visual Studio;Visual Studio Code;Xcode,Windows,2,Agile,Copying and pasting files to network shares;Zip file back-ups,A few times per week,Yes,Yes,The ad-blocking software was causing display issues on a website,Somewhat disagree,Strongly disagree,Somewhat agree,Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising,1,4,2,7,3,5,6,"Artificial intelligence surpassing human intelligence (""the singularity"")",Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,10 (Very Likely),Daily or almost daily,Yes,A few times per week,Yes,"No, and I don't know what that is",3,Yes,Extremely interested,Very interested,Somewhat interested,Somewhat interested,Not at all interested,Between 6:01 - 7:00 AM,5 - 8 hours,3 - 4 hours,1 - 2 times per week,NA,3 - 4 times per week,Male,Straight or heterosexual,Primary/elementary school,Middle Eastern,35 - 44 years old,Yes,NA,The survey was too long,Very easy
30333,Yes,No,Saudi Arabia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","1,000 to 4,999 employees",Back-end developer;Front-end developer;Full-stack developer,0-2 years,0-2 years,Moderately dissatisfied,Moderately dissatisfied,Working as a founder or co-founder of my own company,I am actively looking for a job,Less than a year ago,10,3,2,7,4,6,5,1,9,8,1,5,3,8,9,6,10,11,7,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30793,Yes,No,Saudi Arabia,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Mobile developer,3-5 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10 (Very Likely),A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Yes,"No, I know what it is but I don't have one",10 (Very Likely),I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30840,No,No,Saudi Arabia,"Yes, full-time",Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",NA,"10,000 or more employees",Student,0-2 years,NA,NA,NA,NA,I am not interested in new job opportunities,Between 1 and 2 years ago,6,4,5,7,1,9,8,2,10,3,1,9,7,11,10,2,5,8,3,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I saw an employer’s advertisement,U.S. dollars ($),30000,Weekly,1500000,USD,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,C;C++,C;C++,"Microsoft Azure (Tables, CosmosDB, SQL, etc)","Microsoft Azure (Tables, CosmosDB, SQL, etc)",Windows Desktop or Server,Windows Desktop or Server,Torch/PyTorch,Torch/PyTorch,IPython / Jupyter,Windows,1,NA,I don't use version control,NA,Yes,No,NA,Strongly agree,Strongly agree,Strongly agree,Stopped going to a website because of their advertising,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10 (Very Likely),I have never visited Stack Overflow (before today),NA,NA,NA,NA,NA,No,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,I work night shifts,1 - 4 hours,Less than 30 minutes,Never,NA,1 - 2 times per week,NA,NA,NA,NA,NA,NA,NA,NA,NA
31295,Yes,Yes,Saudi Arabia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,3-5 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31475,Yes,No,Saudi Arabia,No,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",NA,10 to 19 employees,Back-end developer;Database administrator;Front-end developer;Full-stack developer;System administrator,15-17 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Java;JavaScript;Objective-C;PHP;Python;SQL;TypeScript;HTML;CSS;Bash/Shell,Python;R;Scala;Swift;HTML;CSS;Bash/Shell,Redis;SQL Server;MySQL;PostgreSQL;MariaDB,Redis;MySQL;PostgreSQL;MariaDB,Android;Arduino;AWS;Linux;Raspberry Pi,Android;Arduino;AWS;Linux;Raspberry Pi,Angular;Node.js,Angular;Hadoop;Node.js;React,NetBeans;Vim,MacOS,1,Extreme programming (XP),Git,A few times per week,Yes,I'm not sure/I can't remember,NA,Somewhat agree,Somewhat disagree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31886,Yes,Yes,Saudi Arabia,No,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",NA,20 to 99 employees,Back-end developer;Designer;Front-end developer;Full-stack developer;Mobile developer,3-5 years,3-5 years,Moderately satisfied,Moderately satisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,10,3,7,5,9,4,8,6,2,1,3,7,4,9,11,5,6,1,10,8,2,1,3,5,4,2,6,7,1,3,4,5,2,My job status or other personal status changed,U.S. dollars ($),3800,Monthly,45600,USD,Slack,Less than a month,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;The technology’s online help system,NA,"To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers;To build my professional network;Because I find it enjoyable",Neither Agree nor Disagree,Disagree,Strongly disagree,C#;F#;Java;JavaScript;VB.NET;Visual Basic 6;HTML;CSS,C++;Go;Python;Swift;Kotlin,"SQL Server;MySQL;Microsoft Azure (Tables, CosmosDB, SQL, etc)",NA,Android;Azure;Serverless;Windows Desktop or Server;Windows Phone;WordPress,AWS;iOS;Raspberry Pi;Firebase,Angular;.NET Core;Xamarin,Node.js;TensorFlow;Torch/PyTorch,Visual Studio;Visual Studio Code;Xcode,Windows,3,Agile;Scrum,Git;Team Foundation Version Control,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content;The ad-blocking software was causing display issues on a website;I wanted to support the website I was visiting by viewing their ads,Somewhat agree,Somewhat agree,Strongly agree,Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising,5,1,7,3,6,4,2,"Artificial intelligence surpassing human intelligence (""the singularity"")","Artificial intelligence surpassing human intelligence (""the singularity"")",A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,"Yes, but only within the company",Upper management at the company/organization,No,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,Yes,"No, I know what it is but I don't have one",5,Yes,Extremely interested,Extremely interested,Somewhat interested,Somewhat interested,A little bit interested,Between 9:01 - 10:00 AM,9 - 12 hours,30 - 59 minutes,Never,NA,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Middle Eastern,18 - 24 years old,No,NA,The survey was an appropriate length,Somewhat easy
